model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,prep_name,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__learning_rate
XGBoost,f1,0.19916733105977377,0.05113100275554889,0.01722089449564616,0.004518548384605355,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,10,500,0.05
XGBoost,f1,0.21497217814127603,0.0317500506462431,0.02146180470784505,0.011737472701413386,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,500,0.05
XGBoost,f1,0.4062676429748535,0.07891142399594614,0.01640176773071289,0.002371603379925141,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,1000,0.05
XGBoost,f1,0.48238396644592285,0.1356682034592823,0.023141940434773762,0.009837387528151567,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,1500,0.05
XGBoost,f1,0.15311439832051596,0.051320967407658985,0.0327004591623942,0.01713804215689544,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,20,100,0.05
XGBoost,f1,0.30765048662821454,0.08149019069973973,0.016028801600138348,0.004622739199158802,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,20,500,0.05
XGBoost,f1,0.16095495223999023,0.028251908150946383,0.01541463534037272,0.0011584704429883064,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.8148148148148148,0.9583333333333334,0.9473684210526315,0.90683885640026,0.06522461446223438,17,0.9166666666666666,1.0,0.782608695652174,0.8997584541062801,0.0895513280768919,1,0.8627450980392156,0.9787234042553191,0.8571428571428571,0.899537119812464,0.056039848968769734,1,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,100,0.05
XGBoost,f1,0.18367664019266763,0.03775423964701302,0.013830184936523438,0.0014255423069538388,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,20,500,0.2
XGBoost,f1,0.06933323542277019,0.018296504545239824,0.014773686726888021,0.0016840003916994168,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,100,0.2
XGBoost,f1,0.07949296633402507,0.03934968066980513,0.021227518717447918,0.009784451854639909,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,20,100,0.2
XGBoost,f1,0.48327143987019855,0.12380964663839114,0.014021873474121094,0.0011489017704386876,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,1500,0.2
XGBoost,f1,0.289195458094279,0.027508078957960442,0.016355514526367188,0.0037283748343524647,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,1000,0.2
XGBoost,f1,0.11395851771036784,0.004498817885774557,0.01351491610209147,0.002194810497211967,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,15,500,0.2
XGBoost,f1,0.47640379269917804,0.08088189866224009,0.01777370770772298,0.0027282652684205697,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,10,1500,0.2
XGBoost,f1,0.046762307484944664,0.0044136177800123255,0.017434040705362957,0.003835440170262392,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,5,100,0.2
XGBoost,f1,0.12651721636454263,0.02361236227187107,0.020965178807576496,0.0063050671205285855,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,10,500,0.2
XGBoost,f1,0.04349382718404134,0.002318317356170438,0.012859106063842773,0.00024171701306669065,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,10,100,0.2
XGBoost,f1,0.42171311378479004,0.027262330517858074,0.017088810602823894,0.003916572094397479,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 1500}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,5,1500,0.2
XGBoost,f1,0.25083041191101074,0.05318634619191457,0.014826297760009766,0.0013575203980051016,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.890625,0.9841269841269841,0.9047619047619048,0.9265046296296297,0.04115187174702896,1,0.84,0.9583333333333334,0.9473684210526315,0.915233918128655,0.05338641620657664,1,0.875,1.0,0.782608695652174,0.8858695652173912,0.08908181777640757,33,0.8571428571428572,0.9787234042553191,0.8571428571428571,0.8976697061803445,0.05731361954906159,33,Outlier-Quantile: 0.01 + Correlation-Threshold: None + Scaling: MinMax,5,1000,0.2
