model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
XGBoost,f1,0.1959404150644938,0.03606537174783226,0.021355946858723957,0.0019122205078912632,0.1,5,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.8920704845814978,0.9293598233995585,0.8830022075055187,0.9014775051621916,0.020060345045205142,28,0.915,0.9395465994962217,0.8980582524271845,0.9175349506411354,0.017032130747403378,13,0.9606299212598425,0.979002624671916,0.9711286089238845,0.9702537182852143,0.00752609384693145,41,0.9372599231754162,0.9588688946015425,0.9331651954602774,0.9430980044124121,0.01127630056899541,31,False
XGBoost,f1,0.10280807813008626,0.003079629749888459,0.019327243169148762,0.0006080806954850594,0.1,15,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.8876651982378855,0.9315673289183223,0.8830022075055187,0.9007449115539088,0.021877719713323363,32,0.9084158415841584,0.9396984924623115,0.8961352657004831,0.9147498665823176,0.018339912504037034,36,0.963254593175853,0.9816272965879265,0.973753280839895,0.9728783902012248,0.007526093846931403,20,0.935031847133758,0.9602053915275995,0.9333333333333333,0.9428568573315635,0.012286848425473175,32,False
XGBoost,f1,0.18590569496154785,0.04056324281492892,0.02295223871866862,0.005592377675300543,0.2,10,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8876651982378855,0.9293598233995585,0.8852097130242825,0.9007449115539088,0.020258615234993744,32,0.9104477611940298,0.9373433583959899,0.8963855421686747,0.9147255539195648,0.016992357311050383,37,0.9606299212598425,0.9816272965879265,0.9763779527559056,0.9728783902012248,0.008922168877677675,20,0.9348659003831418,0.958974358974359,0.9346733668341709,0.942837875397224,0.01141048768949669,33,False
XGBoost,f1,0.10934281349182129,0.023586363160083217,0.021289825439453125,0.004590057473812343,0.1,10,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8920704845814978,0.9271523178807947,0.8830022075055187,0.9007416699892704,0.019038560061433882,36,0.9108910891089109,0.9393939393939394,0.8961352657004831,0.9154734314011111,0.017955066287660033,31,0.9658792650918635,0.9763779527559056,0.973753280839895,0.9720034995625547,0.004461084438838848,26,0.9375796178343949,0.9575289575289575,0.9333333333333333,0.9428139695655618,0.010548487603700875,34,False
XGBoost,f1,0.09744453430175781,0.002935752301006708,0.019687652587890625,0.0004608410142381461,0.1,20,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8876651982378855,0.9315673289183223,0.8830022075055187,0.9007449115539088,0.021877719713323363,32,0.9104477611940298,0.9396984924623115,0.8961352657004831,0.9154271731189415,0.018129802146632963,32,0.9606299212598425,0.9816272965879265,0.973753280839895,0.9720034995625545,0.008660975447604257,36,0.9348659003831418,0.9602053915275995,0.9333333333333333,0.9428015417480249,0.0123222747035072,35,False
XGBoost,f1,0.2356417973836263,0.01099977332208098,0.01976776123046875,0.0007800932763160659,0.05,10,500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8898678414096917,0.9249448123620309,0.8874172185430463,0.9007432907715897,0.017142279575717193,35,0.912718204488778,0.9348370927318296,0.8985507246376812,0.9153686739527629,0.014931931526109752,33,0.9606299212598425,0.979002624671916,0.9763779527559056,0.9720034995625547,0.008113402008307728,26,0.9360613810741688,0.9564102564102565,0.9358490566037736,0.9427735646960663,0.009642986781458644,36,False
XGBoost,f1,0.3548270066579183,0.007661848927240633,0.021912574768066406,0.001718900082976927,0.05,5,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.8986784140969163,0.9205298013245033,0.8830022075055187,0.9007368076423128,0.015389559500983576,37,0.9177057356608479,0.9367088607594937,0.9,0.9181381988067806,0.014989449241481278,7,0.9658792650918635,0.9711286089238845,0.968503937007874,0.9685039370078741,0.002143035645479607,44,0.9411764705882353,0.9536082474226805,0.9329962073324906,0.9425936417811354,0.008474287769969759,37,False
XGBoost,f1,0.24672873814900717,0.018050144733082644,0.019344170888264973,0.00045755982551360405,0.2,10,1000,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8854625550660793,0.9293598233995585,0.8852097130242825,0.9000106971633067,0.020753222888635934,39,0.9102244389027432,0.9373433583959899,0.8963855421686747,0.9146511131558026,0.01701141305584098,38,0.958005249343832,0.9816272965879265,0.9763779527559056,0.9720034995625547,0.010127591341023812,26,0.9335038363171355,0.958974358974359,0.9346733668341709,0.9423838540418886,0.011740970739063446,38,False
XGBoost,f1,0.39198025067647296,0.04922979068277516,0.025005261103312176,0.004900267647637389,0.05,15,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8810572687224669,0.9293598233995585,0.8896247240618101,0.9000139387279451,0.021043384282914683,38,0.9077306733167082,0.9373433583959899,0.9007263922518159,0.9152668079881714,0.015870214170802647,34,0.9553805774278216,0.9816272965879265,0.9763779527559056,0.9711286089238845,0.011339878737371557,37,0.9309462915601023,0.958974358974359,0.9370277078085643,0.9423161194476752,0.012037957024707092,39,False
XGBoost,f1,0.16589784622192383,0.012575225989201279,0.018756945927937824,0.00026067677061115203,0.2,5,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.8942731277533039,0.9249448123620309,0.8807947019867549,0.90000421403403,0.018474163472357932,40,0.9152119700748129,0.9392405063291139,0.8978102189781022,0.9174208984606763,0.016985811745046816,14,0.963254593175853,0.973753280839895,0.968503937007874,0.9685039370078741,0.004286071290959169,44,0.9386189258312021,0.9561855670103093,0.9318181818181818,0.9422075582198977,0.010266485185342183,40,False
