model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__learning_rate
XGBoost,f1_macro,0.17812689145406088,0.011153543395692982,0.02131541570027669,0.0012780520141729191,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8964757709251101,0.9293598233995585,0.8940397350993378,0.9066251098080021,0.016106602563414476,2,0.8327114427860697,0.8983447283195394,0.8584971464806594,0.8631844391954228,0.02699888981945858,8,0.7500629202171647,0.8228346456692913,0.706091426071741,0.7596629973193991,0.04814122239672978,4,0.7819872286079182,0.8544344473007712,0.7516674280493376,0.7960297013193424,0.043113480810101225,1,False,15,500.0,0.2
XGBoost,f1_macro,0.24937939643859863,0.02697784270215181,0.026689529418945312,0.002990134933957252,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8964757709251101,0.9315673289183223,0.8874172185430463,0.9051534394621595,0.01904003693915247,11,0.8291203703703703,0.9062128825947922,0.8282914989344068,0.854541583966523,0.03653869258209402,16,0.7555998993276525,0.8241469816272966,0.7021544181977253,0.7606337663842249,0.049930293050658325,1,0.7848710012400819,0.8580554516693115,0.7421799149638987,0.795035455957764,0.047848873943369716,2,False,10,500.0,0.1
XGBoost,f1_macro,0.4013938903808594,0.06404243316929319,0.02757716178894043,0.005485257625105329,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8898678414096917,0.9315673289183223,0.8940397350993378,0.9051583018091173,0.01875151031926891,8,0.8148496682821249,0.9121462264150944,0.8454118873826904,0.8574692606933031,0.040625855843245,11,0.740588933232661,0.8185148731408574,0.7173556430446194,0.7588198164727126,0.043263312295756244,6,0.769617992124386,0.8561536491677337,0.759170653907496,0.7949807650665385,0.04346552680687085,3,False,10,1000.0,0.05
XGBoost,f1_macro,0.3096022605895996,0.00984964319626245,0.024070262908935547,0.0003647605312964242,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8986784140969163,0.9293598233995585,0.8874172185430463,0.9051518186798404,0.01772426304453955,12,0.8326270221007064,0.8983447283195394,0.8338907469342252,0.8549541657848237,0.03068609824141893,14,0.7624492143961457,0.8228346456692913,0.6965223097112861,0.7606020565922411,0.05158333418043975,2,0.7908253205128205,0.8544344473007712,0.7381947985721571,0.7944848554619162,0.04752513812829755,4,False,15,1000.0,0.1
XGBoost,f1_macro,0.4294562339782715,0.03054674094453402,0.025867621103922527,0.0036724400246872482,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9315673289183223,0.8962472406181016,0.9058941369820386,0.018339552370273654,4,0.8148496682821249,0.9062128825947922,0.8696400727650728,0.8635675412139966,0.03754522572369403,6,0.740588933232661,0.8241469816272966,0.7074037620297463,0.757379892296568,0.04911684748444138,7,0.769617992124386,0.8580554516693115,0.75491809883393,0.7941971808758758,0.045551661347189215,5,False,15,1500.0,0.2
XGBoost,f1_macro,0.46604490280151367,0.05365394104637227,0.027601003646850586,0.002824344627506706,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.9008810572687225,0.9271523178807947,0.8852097130242825,0.9044143627245999,0.0173043098893653,15,0.8396296296296297,0.8907496012759171,0.8241525423728814,0.8515105910928095,0.028456516507363437,17,0.7637615503541509,0.821522309711286,0.6952099737532809,0.760164611272906,0.05162948144782935,3,0.7940254267192273,0.8508575020202926,0.7351115509175963,0.7933314932190387,0.04725563428096137,6,False,15,1500.0,0.1
XGBoost,f1_macro,0.34377559026082355,0.02419881253201194,0.01898344357808431,0.0003796863759382779,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 1500}",0.8898678414096917,0.9315673289183223,0.8962472406181016,0.9058941369820386,0.018339552370273654,4,0.8180800856322679,0.9062128825947922,0.8696400727650728,0.8646443469973777,0.036153058257625485,5,0.7350519541221732,0.8241469816272966,0.7074037620297463,0.755534232593072,0.04981223162383612,12,0.7664993416721527,0.8580554516693115,0.75491809883393,0.7931576307251315,0.046132610800434994,7,False,20,1500.0,0.2
XGBoost,f1_macro,0.2521246274312337,0.029109685837480408,0.020872116088867188,0.0025921880243452416,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8898678414096917,0.9315673289183223,0.8940397350993378,0.9051583018091173,0.01875151031926891,8,0.8148496682821249,0.9062128825947922,0.8584971464806594,0.8598532324525255,0.03731119992046991,9,0.740588933232661,0.8241469816272966,0.706091426071741,0.7569424469772329,0.04956380808767721,8,0.769617992124386,0.8580554516693115,0.7516674280493376,0.7931136239476784,0.046501874001827884,8,False,15,1000.0,0.2
XGBoost,f1_macro,0.2570647398630778,0.010720980474519587,0.019720077514648438,0.0013900048666520427,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 1000}",0.8920704845814978,0.9315673289183223,0.8940397350993378,0.9058925161997192,0.01817262580553521,6,0.8254455445544555,0.9062128825947922,0.8584971464806594,0.8633851912099691,0.03315378771208805,7,0.7363642900801783,0.8241469816272966,0.706091426071741,0.755534232593072,0.050065913696136305,12,0.7696028170472788,0.8580554516693115,0.7516674280493376,0.7931085655886427,0.04650443027861899,9,False,20,1000.0,0.2
XGBoost,f1_macro,0.18087307612101236,0.012670334967775468,0.019631703694661457,0.0006018348118417232,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8898678414096917,0.9293598233995585,0.8940397350993378,0.9044224666361959,0.017715435755236042,13,0.8148496682821249,0.8983447283195394,0.8584971464806594,0.8572305143607745,0.034098480223789106,12,0.740588933232661,0.8228346456692913,0.706091426071741,0.7565050016578979,0.0489709829462855,9,0.769617992124386,0.8544344473007712,0.7516674280493376,0.7919066224914983,0.044817052886800816,10,False,20,500.0,0.2
