model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
XGBoost,f1_macro,2.964619517326355,0.12978136539459229,0.16469085216522217,0.0030094385147094727,0.2,20,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8572574982445581,0.8276484751203852,0.8424529866824717,0.014804511562086453,21,0.8764151022377978,0.8199094206153433,0.8481622614265706,0.028252840811227253,35,0.8475976125043254,0.808654325918231,0.8281259692112782,0.01947164329304718,11,0.8522334626162977,0.7930728856178789,0.8226531741170884,0.029580288499209406,11,False
XGBoost,f1_macro,11.712709069252014,1.3379772901535034,0.17873001098632812,0.0009157657623291016,0.1,15,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8537466145049654,0.8315609951845907,0.842653804844778,0.01109280966018733,14,0.8718153826199114,0.8280065410821256,0.8499109618510186,0.02190442076889293,14,0.8417856375927214,0.8137530308501452,0.8277693342214333,0.014016303371288119,15,0.8471414929611094,0.7981466119936227,0.822644052477366,0.02449744048374336,12,False
XGBoost,f1_macro,25.25273370742798,1.2109506130218506,0.22543025016784668,0.0021364688873291016,0.1,10,1500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8538469254689538,0.8306581059390048,0.8422525157039793,0.0115944097649745,24,0.8726441966252654,0.826249099621176,0.8494466481232207,0.023197548502044696,19,0.8425645425556335,0.8121608579822557,0.8273627002689445,0.015201842286688916,20,0.8479409601622436,0.7971992821689694,0.8225701211656065,0.025370838996637113,13,False
XGBoost,f1_macro,3.4601367712020874,0.229120135307312,0.1640866994857788,0.0012019872665405273,0.1,10,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8516400842612097,0.8287520064205457,0.8401960453408777,0.011444038920332023,40,0.8736544193780099,0.8263991266978163,0.8500267730379132,0.023627646340096786,13,0.8423982163437014,0.8143158955367398,0.8283570559402206,0.014041160403480801,9,0.8461611333380888,0.7989583851959393,0.8225597592670141,0.023601374071074765,14,False
XGBoost,f1_macro,9.864899277687073,0.3964639902114868,0.1872539520263672,0.0032699108123779297,0.1,5,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.864379576687732,0.8224317817014446,0.8434056791945883,0.02097389749314371,4,0.8854418383061472,0.8174644045968541,0.8514531214515006,0.03398871685464655,5,0.8560784306560615,0.8009596728465296,0.8285190517512955,0.027559378904765952,5,0.8602319875068252,0.7846332591221146,0.8224326233144699,0.0377993641923553,15,False
XGBoost,f1_macro,19.42397129535675,1.0160809755325317,0.2146909236907959,0.00022673606872558594,0.05,5,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.8637777109038017,0.8230337078651685,0.8434057093844851,0.020372001519316618,3,0.8840063898523349,0.8183272749175805,0.8511668323849577,0.03283955746737721,6,0.8543509554112488,0.8016829467895794,0.8280169511004141,0.026334004310834713,13,0.858881674508215,0.7857685466174448,0.8223251105628299,0.03655656394538509,16,False
XGBoost,f1_macro,9.407050132751465,0.13861846923828125,0.18409204483032227,0.0033004283905029297,0.2,15,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8556525228207443,0.8300561797752809,0.8428543512980127,0.012798171522731716,10,0.8737309497161774,0.823982794876823,0.8488568722965002,0.024874077419677176,26,0.8445299539976716,0.8102908456007849,0.8274103997992283,0.017119554198443354,18,0.8499513537014738,0.7946323095334726,0.8222918316174732,0.027659522084000576,17,False
XGBoost,f1_macro,18.21291160583496,0.9605348110198975,0.2132856845855713,0.006716728210449219,0.1,15,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8535459925769887,0.8307584269662921,0.8421522097716404,0.011393782805348307,27,0.8717338984581444,0.8265661911226355,0.8491500447903899,0.02258385366775445,24,0.8419538446255732,0.8126432067146142,0.8272985256700938,0.014655318955479502,21,0.8472656841769746,0.7971837483008757,0.8222247162389251,0.02504096793804944,18,False
XGBoost,f1_macro,16.146276354789734,0.9336718320846558,0.20844388008117676,0.013098478317260742,0.2,15,1000,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.855853144748721,0.8297552166934189,0.84280418072107,0.013048964027651044,12,0.8741823310168383,0.8235284373805539,0.8488553841986961,0.025326946818142182,27,0.8445806515049902,0.809807604310097,0.8271941279075437,0.01738652359744658,23,0.8500965089373695,0.7942534447428756,0.8221749768401225,0.02792153209724696,19,False
XGBoost,f1_macro,17.75783884525299,0.9065052270889282,0.21716630458831787,0.0088425874710083,0.1,20,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 1000}",0.8554519008927676,0.8285513643659711,0.8420016326293693,0.013450268263398235,30,0.8736647417132845,0.8218394155915174,0.8477520786524009,0.025912663060883523,40,0.8439056539852781,0.8101214760969111,0.8270135650410946,0.01689208894418348,26,0.8494140487213241,0.7947815861261982,0.8220978174237612,0.027316231297562943,20,False
XGBoost,f1_macro,9.0225430727005,0.5473724603652954,0.17380714416503906,0.0012023448944091797,0.2,20,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8570568763165815,0.8286516853932584,0.84285428085492,0.014202595461661527,11,0.8753183968806292,0.8231083010556363,0.8492133489681327,0.02610504791249646,22,0.846459259381392,0.8083408853347335,0.8274000723580628,0.01905918702332926,19,0.851608056260096,0.7924784676529485,0.8220432619565222,0.029564794303573727,21,False
XGBoost,f1_macro,9.144695401191711,0.26116979122161865,0.17921340465545654,0.0034750699996948242,0.2,10,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8545491022168723,0.8308587479935795,0.842703925105226,0.011845177111646399,13,0.8727237791380698,0.826751259887783,0.8497375195129264,0.02298625962514339,16,0.8432990534978834,0.8110278925220152,0.8271634730099493,0.016135580487934065,24,0.8484916238586917,0.7952113599094663,0.821851491884079,0.02664013197461268,22,False
XGBoost,f1_macro,24.829359650611877,1.0826419591903687,0.23205876350402832,0.0002760887145996094,0.1,5,1500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 1500}",0.8644798876517203,0.8206260032102729,0.8425529454309966,0.021926942220723722,20,0.8844711899999278,0.8158815351827731,0.8501763625913504,0.034294827408577366,12,0.8558854926330315,0.7996294125857268,0.8277574526093792,0.028128040023652323,16,0.8600524198497901,0.783418765653354,0.821735592751572,0.03831682709821804,23,False
XGBoost,f1_macro,16.50728476047516,1.0483230352401733,0.20274710655212402,0.0005373954772949219,0.2,10,1000,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8543484802888955,0.8308587479935795,0.8426036141412375,0.011744866147658017,16,0.8728675426535353,0.8263037018685429,0.8495856222610391,0.023281920392496214,17,0.8430654068758885,0.8108695785397972,0.8269674927078429,0.016097914168045624,27,0.8482638245499202,0.7951776472935743,0.8217207359217473,0.02654308862817295,24,False
XGBoost,f1_macro,27.92409908771515,1.0606735944747925,0.23735284805297852,0.001550912857055664,0.05,10,1500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8539472364329421,0.8304574638844302,0.8422023501586862,0.011744886274255961,26,0.8737105078230101,0.8273102670881063,0.8505103874555582,0.023200120367451893,9,0.8425600348658274,0.8113281888527801,0.8269441118593037,0.015615923006523647,28,0.8477004463329215,0.7957383112243654,0.8217193787786434,0.025981067554278037,25,False
XGBoost,f1_macro,23.141783118247986,1.596913456916809,0.22103583812713623,0.004778265953063965,0.2,15,1500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.8551509680008025,0.8296548956661316,0.842402931833467,0.012748036167335441,22,0.8735426988189692,0.8233652739141645,0.8484539863665668,0.02508871245240235,30,0.8436917002880793,0.8096267909246281,0.8266592456063537,0.017032454681725595,31,0.8492230393027422,0.7941710834131909,0.8216970613579666,0.02752597794477568,26,False
XGBoost,f1_macro,17.416817545890808,0.62659752368927,0.21688222885131836,0.006997346878051758,0.1,5,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 1000}",0.8639783328317785,0.8212279293739968,0.8426031311028876,0.021375201728890847,18,0.8841026362767705,0.8164866420062812,0.8502946391415258,0.03380799713524468,10,0.8552855608463632,0.7999293470307995,0.8276074539385814,0.02767810690778183,17,0.8595053618124867,0.7837049685856308,0.8216051651990588,0.03790019661342797,27,False
XGBoost,f1_macro,23.740490674972534,1.2282586097717285,0.22681665420532227,0.002784252166748047,0.2,10,1500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8542481693249072,0.8304574638844302,0.8423528166046688,0.011895352720238506,23,0.8725085349014804,0.8260061344823278,0.8492573346919041,0.023251200209576273,21,0.8429998044261625,0.8107204843691942,0.8268601443976784,0.01613966002848416,29,0.8481198504210332,0.7949637545172306,0.8215418024691319,0.02657804795190133,28,False
