Total train samples: 39209
Total test samples: 12630
Batch size: 64
iteration every epoch: 612
Initial learning rate: 0.001
[2026-02-04_12:58:15] Epoch:1/20, iteration:100/612, lr: 0.001, loss: 0.05611234903335571, time: 0.9229142665863037
[2026-02-04_12:58:23] Epoch:3/20, iteration:274/612, lr: 0.001, loss: 0.009145247749984264, time: 0.5216963291168213
[2026-02-04_12:58:23] Epoch:3/20, iteration:374/612, lr: 0.001, loss: 0.010127297602593899, time: 0.5053308010101318
[2026-02-04_12:58:24] Epoch:3/20, iteration:474/612, lr: 0.001, loss: 0.010139564983546734, time: 0.5137112140655518
[2026-02-04_12:58:24] Epoch:3/20, iteration:574/612, lr: 0.001, loss: 0.012548631057143211, time: 0.5235922336578369
[2026-02-04_12:58:25] Epoch:4/20, iteration:61/612, lr: 0.001, loss: 0.00943236704915762, time: 0.6675176620483398
[2026-02-04_12:58:26] Epoch:4/20, iteration:161/612, lr: 0.001, loss: 0.01030326634645462, time: 0.5557129383087158
[2026-02-04_12:58:26] Epoch:4/20, iteration:261/612, lr: 0.001, loss: 0.01034096535295248, time: 0.5001258850097656
[2026-02-04_12:58:27] Epoch:4/20, iteration:361/612, lr: 0.001, loss: 0.008919564075767994, time: 0.5488014221191406
[2026-02-04_12:58:27] Epoch:4/20, iteration:461/612, lr: 0.001, loss: 0.01012375857681036, time: 0.5212118625640869
[2026-02-04_12:58:28] Epoch:4/20, iteration:561/612, lr: 0.001, loss: 0.008195686154067516, time: 0.5070662498474121
[2026-02-04_12:58:28] Epoch:5/20, iteration:48/612, lr: 0.001, loss: 0.009912412613630295, time: 0.6688933372497559
[2026-02-04_12:58:29] Epoch:5/20, iteration:148/612, lr: 0.001, loss: 0.009675169363617897, time: 0.5110204219818115
[2026-02-04_12:58:29] Epoch:5/20, iteration:248/612, lr: 0.001, loss: 0.008594715967774391, time: 0.497668981552124
[2026-02-04_12:58:30] Epoch:5/20, iteration:348/612, lr: 0.001, loss: 0.00829300843179226, time: 0.5098822116851807
[2026-02-04_12:58:30] Epoch:5/20, iteration:448/612, lr: 0.001, loss: 0.009795702062547207, time: 0.5742943286895752
[2026-02-04_12:58:31] Epoch:5/20, iteration:548/612, lr: 0.001, loss: 0.0060915881767869, time: 0.5011038780212402
==========Test result on test dataset==========
[2026-02-04_12:58:33] loss: 0.007143574766814709, time: 1.5681438446044922
[2026-02-04_12:58:33] Epoch:6/20, iteration:35/612, lr: 0.001, loss: 0.009161891415715218, time: 1.8840656280517578
[2026-02-04_12:58:33] Epoch:6/20, iteration:135/612, lr: 0.001, loss: 0.007788702845573425, time: 0.5461421012878418
[2026-02-04_12:58:34] Epoch:6/20, iteration:235/612, lr: 0.001, loss: 0.006964258849620819, time: 0.5367021560668945
[2026-02-04_12:58:34] Epoch:6/20, iteration:335/612, lr: 0.001, loss: 0.005993206053972244, time: 0.5407755374908447
[2026-02-04_12:58:35] Epoch:6/20, iteration:435/612, lr: 0.001, loss: 0.005907104816287756, time: 0.499208927154541
[2026-02-04_12:58:35] Epoch:6/20, iteration:535/612, lr: 0.001, loss: 0.005570167675614357, time: 0.4974987506866455
[2026-02-04_12:58:36] Epoch:7/20, iteration:22/612, lr: 0.001, loss: 0.007555507123470306, time: 0.7075307369232178
[2026-02-04_12:58:37] Epoch:7/20, iteration:122/612, lr: 0.001, loss: 0.007409363519400358, time: 0.527674674987793
[2026-02-04_12:58:37] Epoch:7/20, iteration:222/612, lr: 0.001, loss: 0.006665186956524849, time: 0.5435924530029297
[2026-02-04_12:58:38] Epoch:7/20, iteration:322/612, lr: 0.001, loss: 0.005679754540324211, time: 0.48442912101745605
[2026-02-04_12:58:38] Epoch:7/20, iteration:422/612, lr: 0.001, loss: 0.0060378252528607845, time: 0.49974679946899414
[2026-02-04_12:58:39] Epoch:7/20, iteration:522/612, lr: 0.001, loss: 0.006113148294389248, time: 0.4950728416442871
[2026-02-04_12:58:39] Epoch:8/20, iteration:9/612, lr: 0.001, loss: 0.00738783273845911, time: 0.7080440521240234
[2026-02-04_12:58:40] Epoch:8/20, iteration:109/612, lr: 0.001, loss: 0.005103386007249355, time: 0.5019512176513672
[2026-02-04_12:58:40] Epoch:8/20, iteration:209/612, lr: 0.001, loss: 0.006306023802608252, time: 0.4947071075439453
[2026-02-04_12:58:41] Epoch:8/20, iteration:309/612, lr: 0.001, loss: 0.005878269672393799, time: 0.4893374443054199
[2026-02-04_12:58:41] Epoch:8/20, iteration:409/612, lr: 0.001, loss: 0.00493897870182991, time: 0.4948720932006836
[2026-02-04_12:58:42] Epoch:8/20, iteration:509/612, lr: 0.001, loss: 0.0051116240210831165, time: 0.5037310123443604
[2026-02-04_12:58:42] Epoch:8/20, iteration:609/612, lr: 0.001, loss: 0.0065554971806705, time: 0.49160170555114746
[2026-02-04_12:58:43] Epoch:9/20, iteration:96/612, lr: 0.001, loss: 0.004301636479794979, time: 0.710925817489624
[2026-02-04_12:58:44] Epoch:9/20, iteration:196/612, lr: 0.001, loss: 0.006381850223988295, time: 0.5426251888275146
[2026-02-04_12:58:44] Epoch:9/20, iteration:296/612, lr: 0.001, loss: 0.004935169126838446, time: 0.5183451175689697
[2026-02-04_12:58:45] Epoch:9/20, iteration:396/612, lr: 0.001, loss: 0.005315113812685013, time: 0.48955607414245605
[2026-02-04_12:58:45] Epoch:9/20, iteration:496/612, lr: 0.001, loss: 0.004363154526799917, time: 0.508019208908081
[2026-02-04_12:58:46] Epoch:9/20, iteration:596/612, lr: 0.001, loss: 0.004416648298501968, time: 0.5191924571990967
[2026-02-04_12:58:46] Epoch:10/20, iteration:83/612, lr: 0.001, loss: 0.0046280380338430405, time: 0.6748931407928467
[2026-02-04_12:58:47] Epoch:10/20, iteration:183/612, lr: 0.001, loss: 0.004182023927569389, time: 0.4985654354095459
[2026-02-04_12:58:47] Epoch:10/20, iteration:283/612, lr: 0.001, loss: 0.006391796283423901, time: 0.49573731422424316
[2026-02-04_12:58:48] Epoch:10/20, iteration:383/612, lr: 0.001, loss: 0.004337606020271778, time: 0.5375382900238037
[2026-02-04_12:58:48] Epoch:10/20, iteration:483/612, lr: 0.001, loss: 0.005039000418037176, time: 0.49420762062072754
[2026-02-04_12:58:49] Epoch:10/20, iteration:583/612, lr: 0.001, loss: 0.005327714141458273, time: 0.5041563510894775
==========Test result on test dataset==========
[2026-02-04_12:58:50] loss: 0.004282922483980656, time: 1.4599025249481201
[2026-02-04_12:58:51] Epoch:11/20, iteration:70/612, lr: 0.0001, loss: 0.004384887870401144, time: 1.964996576309204
[2026-02-04_12:58:51] Epoch:11/20, iteration:170/612, lr: 0.0001, loss: 0.004965139552950859, time: 0.4863016605377197
[2026-02-04_12:58:52] Epoch:11/20, iteration:270/612, lr: 0.0001, loss: 0.0032336334697902203, time: 0.4935028553009033
